client_id,name,age,sexe,opening_date,status
CLI0073,Jean Bernard,85,M,2022-05-31,active
CLI0074,Laura Richard,38,F,2024-02-24,active
CLI0075,Emma Laurent,28,F,2020-08-03,active
CLI0076,Emma Martin,28,M,2023-01-19,active
CLI0077,Laura Laurent,74,F,2024-08-23,active
CLI0078,Nicolas Bernard,62,M,2024-10-26,active
CLI0079,Emma Dubois,85,F,2023-06-17,active
CLI0080,Thomas Laurent,25,M,2020-02-01,active
CLI0081,Sophie Thomas,50,F,2023-03-31,active
CLI0082,Jean Dubois,73,M,2021-12-20,active
CLI0083,Nicolas Petit,82,F,2023-12-21,active
CLI0084,Jean Durand,20,F,2025-02-26,active
CLI0085,Emma Durand,69,F,2024-09-06,inactive
CLI0086,Thomas Martin,59,M,2021-12-04,active
CLI0087,Julie Bernard,73,F,2021-03-09,inactive
CLI0088,Emma Durand,85,F,2020-11-18,active
CLI0089,Julie Petit,60,F,2021-11-19,active
CLI0090,Nicolas Moreau,42,M,2023-12-02,active
CLI0091,Sophie Bernard,36,M,2022-11-14,active
CLI0092,Emma Thomas,27,M,2021-12-26,active
CLI0093,Laura Laurent,75,F,2023-08-16,active
CLI0094,Luc Dubois,26,F,2025-04-04,active
CLI0095,Pierre Laurent,25,F,2023-12-12,inactive
CLI0096,Pierre Dubois,75,M,2020-06-03,active
CLI0097,Pierre Bernard,29,F,2025-09-07,active
CLI0098,Emma Moreau,23,F,2025-01-16,active
CLI0099,Julie Laurent,78,M,2025-08-15,active
CLI0100,Laura Bernard,61,M,2020-12-11,active
CLI0101,Jean Petit,74,M,2024-12-04,active
CLI0102,Julie Richard,54,M,2024-05-05,active
CLI0103,Emma Martin,60,F,2020-09-26,active
CLI0104,Nicolas Durand,54,M,2022-10-29,active
CLI0105,Julie Bernard,36,M,2023-12-03,active
CLI0106,Luc Laurent,28,F,2023-06-22,active
CLI0107,Julie Thomas,85,F,2021-01-17,active
CLI0108,Nicolas Richard,20,F,2024-01-25,active
CLI0109,Sophie Richard,80,M,2022-02-25,active
CLI0110,Luc Bernard,55,M,2021-02-18,inactive
CLI0111,Julie Laurent,34,M,2024-03-23,active
CLI0112,Luc Laurent,39,M,2024-11-27,active
CLI0113,Julie Petit,74,F,2023-03-13,active
CLI0114,Nicolas Petit,57,M,2025-04-05,active
CLI0115,Emma Dubois,77,F,2023-02-28,active
CLI0116,Luc Petit,35,F,2022-10-21,active
CLI0117,Julie Moreau,31,F,2025-10-14,inactive
CLI0118,Marie Thomas,52,F,2025-01-14,active
CLI0119,Thomas Bernard,46,M,2025-01-21,active
CLI0120,Thomas Martin,68,M,2025-08-18,inactive
CLI0121,Thomas Bernard,65,M,2022-07-08,active
CLI0122,Marie Richard,36,F,2021-07-17,active
CLI0123,Laura Thomas,78,F,2025-01-11,active
CLI0124,Marie Martin,50,M,2022-06-02,active
CLI0125,Marie Robert,48,F,2023-05-18,active
CLI0126,Sophie Durand,76,M,2020-09-14,active
CLI0127,Emma Moreau,20,F,2025-10-11,active
CLI0128,Luc Robert,72,M,2020-01-07,inactive
CLI0129,Sophie Laurent,71,F,2022-02-06,active
CLI0130,Marie Moreau,82,F,2025-09-10,active
CLI0131,Thomas Dubois,23,M,2024-05-03,active
CLI0132,Jean Richard,26,F,2023-11-13,active
CLI0133,Emma Richard,35,M,2020-06-30,active
CLI0134,Luc Dubois,79,F,2022-01-16,active
CLI0135,Laura Martin,55,M,2022-04-05,inactive
CLI0136,Jean Richard,57,M,2025-10-12,active
CLI0137,Pierre Martin,42,F,2023-03-17,active
CLI0138,Julie Robert,33,M,2024-02-16,active
CLI0139,Laura Durand,61,F,2022-02-04,active
CLI0140,Julie Moreau,52,F,2020-12-04,inactive
CLI0141,Thomas Laurent,41,M,2023-04-18,active
CLI0142,Marie Richard,55,M,2023-06-09,active
CLI0143,Luc Dubois,62,F,2025-01-05,active
CLI0144,Emma Durand,53,F,2020-08-22,active
CLI0145,Julie Moreau,38,F,2020-05-07,active
CLI0146,Jean Thomas,26,F,2022-08-24,active
CLI0147,Julie Durand,22,F,2021-09-20,active
CLI0148,Julie Dubois,27,F,2021-07-17,active
CLI0149,Thomas Richard,53,F,2022-10-19,active
CLI0150,Luc Dubois,84,M,2024-05-04,active
CLI0151,Pierre Robert,75,M,2022-05-28,active
CLI0152,Laura Petit,33,F,2021-07-09,active
CLI0153,Luc Dubois,29,F,2023-08-02,active
CLI0154,Nicolas Moreau,55,M,2023-05-13,active
CLI0155,Julie Moreau,46,M,2021-05-12,active
CLI0156,Sophie Dubois,21,M,2024-01-18,active
CLI0157,Laura Moreau,34,F,2020-12-19,active
CLI0158,Thomas Dubois,85,F,2024-08-09,active
CLI0159,Luc Richard,27,M,2025-01-17,active
CLI0160,Luc Moreau,41,F,2021-06-12,active
CLI0161,Marie Moreau,37,M,2023-05-30,active
CLI0162,Julie Petit,62,M,2025-10-26,active
CLI0163,Pierre Petit,53,M,2021-05-27,active
CLI0164,Emma Moreau,29,F,2025-08-20,active
CLI0165,Emma Laurent,37,M,2021-12-02,active
CLI0166,Emma Martin,21,F,2020-11-28,active
CLI0167,Sophie Laurent,71,F,2020-05-04,active
CLI0168,Pierre Dubois,49,F,2024-07-21,active
CLI0169,Marie Martin,38,F,2024-12-05,active
CLI0170,Laura Petit,61,F,2021-08-11,active
CLI0171,Julie Durand,34,F,2024-02-26,inactive
CLI0172,Julie Petit,77,M,2021-05-16,inactive
CLI0173,Sophie Thomas,30,F,2020-07-26,active
CLI0174,Emma Durand,49,F,2021-10-16,active
CLI0175,Sophie Thomas,81,F,2025-10-09,active
CLI0176,Pierre Dubois,20,F,2021-01-03,active
CLI0177,Sophie Petit,63,F,2020-07-18,active
CLI0178,Laura Laurent,78,F,2023-03-16,active
CLI0179,Marie Durand,35,M,2022-12-19,active
CLI0180,Julie Martin,69,F,2020-07-28,active
CLI0181,Julie Moreau,54,M,2020-10-28,active
CLI0182,Nicolas Robert,33,F,2021-06-11,active
CLI0183,Julie Richard,64,F,2021-08-13,active
CLI0184,Nicolas Martin,23,F,2020-06-08,active
CLI0185,Laura Moreau,76,F,2021-09-02,active
CLI0186,Julie Laurent,58,M,2021-10-27,active
CLI0187,Emma Richard,82,F,2025-09-18,active
CLI0188,Emma Robert,78,F,2020-03-09,active
CLI0189,Marie Durand,57,F,2020-04-19,active
CLI0190,Pierre Laurent,47,F,2020-07-29,active
CLI0191,Luc Moreau,66,F,2021-08-28,active
CLI0192,Emma Bernard,42,M,2020-03-18,inactive
CLI0193,Thomas Thomas,70,F,2022-04-15,active
CLI0194,Jean Thomas,84,F,2022-04-29,active
CLI0195,Laura Moreau,66,F,2023-07-09,active
CLI0196,Nicolas Richard,63,F,2022-12-18,active
CLI0197,Sophie Petit,53,F,2023-05-07,active
CLI0198,Pierre Petit,80,F,2023-07-22,active
CLI0199,Nicolas Robert,54,F,2021-05-14,active
CLI0200,Thomas Richard,36,F,2023-04-04,active
CLI0201,Marie Richard,74,F,2022-11-16,active
CLI0202,Sophie Moreau,52,M,2023-01-17,active
CLI0203,Emma Laurent,48,M,2022-09-20,active
CLI0204,Sophie Martin,30,M,2024-08-19,active
CLI0205,Marie Thomas,18,F,2021-10-08,active
CLI0206,Laura Petit,54,F,2023-08-08,active
CLI0207,Marie Laurent,47,M,2025-12-31,active
CLI0208,Thomas Thomas,22,M,2024-06-14,active
CLI0209,Pierre Martin,19,M,2023-05-07,active
CLI0210,Julie Robert,76,M,2025-11-17,active
CLI0211,Nicolas Dubois,52,M,2022-02-28,active
CLI0212,Luc Dubois,50,F,2022-02-01,inactive
CLI0213,Pierre Laurent,42,F,2021-12-19,active
CLI0214,Thomas Moreau,59,F,2020-12-21,active
CLI0215,Luc Thomas,79,M,2023-08-18,inactive
CLI0216,Pierre Durand,48,M,2025-01-03,active
CLI0217,Pierre Laurent,19,F,2022-12-07,active
CLI0218,Sophie Martin,33,F,2025-03-21,active
CLI0219,Thomas Moreau,57,M,2021-04-25,active
CLI0220,Julie Laurent,46,F,2022-06-16,active
CLI0221,Luc Dubois,65,F,2024-08-30,active
CLI0222,Nicolas Petit,49,F,2020-12-01,active
CLI0223,Nicolas Richard,27,F,2021-04-04,active
CLI0224,Emma Moreau,37,M,2021-11-04,active
CLI0225,Marie Petit,80,F,2021-01-07,active
CLI0226,Jean Dubois,34,F,2025-10-03,inactive
CLI0227,Emma Martin,77,F,2023-06-16,active
CLI0228,Pierre Martin,45,F,2020-10-26,active
CLI0229,Julie Bernard,25,F,2020-10-09,active
CLI0230,Pierre Durand,41,M,2021-07-08,active
CLI0231,Julie Durand,75,F,2024-03-26,active
CLI0232,Nicolas Thomas,62,M,2021-04-30,inactive
CLI0233,Nicolas Thomas,46,F,2020-01-15,active
CLI0234,Laura Moreau,72,F,2025-12-18,active
CLI0235,Sophie Dubois,62,M,2021-09-27,active
CLI0236,Marie Martin,71,M,2020-03-05,active
CLI0237,Marie Bernard,22,M,2025-01-02,active
CLI0238,Sophie Martin,69,M,2024-12-02,active
CLI0239,Jean Thomas,82,M,2023-03-30,active
CLI0240,Emma Laurent,59,F,2022-08-28,inactive
CLI0241,Nicolas Petit,70,M,2023-05-15,active
CLI0242,Nicolas Laurent,40,M,2024-10-15,active
CLI0243,Jean Richard,66,F,2025-11-18,active
CLI0244,Thomas Thomas,56,F,2024-03-21,active
CLI0245,Sophie Petit,56,F,2021-08-14,active
CLI0246,Nicolas Durand,71,M,2025-12-10,inactive
CLI0247,Sophie Robert,44,F,2023-09-14,active
CLI0248,Laura Richard,29,M,2022-02-19,active
CLI0249,Thomas Laurent,23,F,2020-10-25,inactive
CLI0250,Laura Petit,60,M,2023-05-26,active
CLI0251,Sophie Bernard,79,M,2022-09-20,active
CLI0252,Thomas Petit,59,M,2023-03-05,active
CLI0253,Nicolas Richard,57,F,2022-12-07,active
CLI0254,Laura Bernard,78,F,2023-08-04,active
CLI0255,Julie Durand,23,F,2022-06-25,active
CLI0256,Pierre Moreau,71,M,2023-04-24,active
CLI0257,Julie Petit,66,M,2022-10-03,active
CLI0258,Pierre Dubois,80,F,2025-03-02,active
CLI0259,Luc Thomas,80,F,2022-01-23,active
CLI0260,Nicolas Martin,27,M,2020-07-17,inactive
CLI0261,Luc Petit,26,F,2021-09-10,active
CLI0262,Nicolas Dubois,65,M,2020-09-04,active
CLI0263,Laura Martin,18,F,2025-12-19,active
CLI0264,Jean Martin,85,F,2023-01-30,active
CLI0265,Jean Moreau,73,F,2022-01-04,active
CLI0266,Nicolas Thomas,48,M,2022-02-25,active
CLI0267,Julie Robert,68,F,2020-11-19,active
CLI0268,Laura Laurent,49,F,2022-07-14,active
CLI0269,Jean Bernard,69,M,2024-04-02,active
CLI0270,Jean Martin,39,F,2020-12-04,active
CLI0271,Julie Laurent,30,F,2025-12-03,active
CLI0272,Sophie Laurent,78,M,2023-01-15,active
CLI0273,Pierre Moreau,22,M,2022-01-04,inactive
CLI0274,Sophie Laurent,36,M,2024-06-19,active
CLI0275,Luc Laurent,48,F,2024-05-12,active
CLI0276,Thomas Thomas,28,F,2025-08-13,active
CLI0277,Marie Durand,47,M,2020-11-07,active
CLI0278,Julie Martin,52,F,2025-01-19,inactive
CLI0279,Julie Moreau,66,M,2024-11-03,active
CLI0280,Marie Laurent,55,F,2022-10-06,active
CLI0281,Pierre Thomas,66,M,2021-09-23,inactive
CLI0282,Julie Bernard,29,F,2020-01-22,active
CLI0283,Julie Robert,31,F,2021-06-26,inactive
CLI0284,Thomas Dubois,83,M,2024-07-29,active
CLI0285,Marie Richard,29,M,2023-08-21,inactive
CLI0286,Pierre Durand,67,M,2020-12-12,active
CLI0287,Emma Moreau,39,M,2024-04-08,inactive
CLI0288,Pierre Robert,52,M,2025-07-12,active
CLI0289,Luc Durand,53,M,2024-09-20,active
CLI0290,Marie Richard,50,F,2022-10-07,active
CLI0291,Emma Laurent,43,F,2025-02-18,active
CLI0292,Pierre Martin,68,M,2023-09-22,inactive
CLI0293,Julie Dubois,60,F,2024-10-29,active
CLI0294,Pierre Richard,43,M,2025-05-16,active
CLI0295,Thomas Richard,55,M,2025-07-04,active
CLI0296,Julie Durand,53,M,2024-05-28,active
CLI0297,Emma Petit,41,M,2020-04-20,active
CLI0298,Laura Robert,26,M,2024-08-02,active
CLI0299,Pierre Petit,50,M,2021-09-23,active
CLI0300,Marie Dubois,79,F,2024-06-29,inactive
CLI0301,Nicolas Martin,64,F,2020-12-14,active
CLI0302,Julie Thomas,23,M,2024-06-24,active
CLI0303,Marie Martin,30,F,2022-11-25,active
CLI0304,Laura Richard,68,M,2025-03-11,active
CLI0305,Julie Martin,79,M,2021-03-04,active
CLI0306,Marie Bernard,36,F,2023-11-27,active
CLI0307,Laura Petit,84,F,2025-06-01,active
CLI0308,Marie Dubois,75,F,2023-07-30,active
CLI0309,Jean Bernard,20,F,2023-11-06,active
CLI0310,Luc Petit,84,M,2021-12-15,active
CLI0311,Julie Moreau,72,M,2025-03-07,active
CLI0312,Luc Thomas,73,F,2024-06-08,active
CLI0313,Laura Laurent,72,M,2024-05-11,active
CLI0314,Sophie Robert,26,M,2021-02-20,active
CLI0315,Julie Richard,43,M,2025-02-17,active
CLI0316,Laura Moreau,58,F,2024-05-10,active
CLI0317,Emma Bernard,62,F,2023-12-12,active
CLI0318,Pierre Laurent,28,M,2021-07-02,active
CLI0319,Sophie Robert,32,M,2022-01-19,active
CLI0320,Nicolas Durand,71,M,2021-07-18,active
CLI0321,Thomas Thomas,80,F,2021-12-10,active
CLI0322,Laura Robert,35,M,2022-02-05,inactive
CLI0323,Emma Martin,63,F,2020-02-09,active
CLI0324,Sophie Durand,82,M,2025-07-20,active
CLI0325,Thomas Dubois,80,F,2021-11-16,active
CLI0326,Sophie Robert,22,M,2023-01-30,active
CLI0327,Luc Dubois,81,F,2025-09-23,active
CLI0328,Pierre Moreau,64,M,2020-06-19,active
CLI0329,Thomas Bernard,49,M,2023-05-04,active
CLI0330,Pierre Richard,29,F,2024-12-03,active
CLI0331,Sophie Laurent,62,M,2024-10-19,active
CLI0332,Sophie Petit,25,M,2023-12-07,active
CLI0333,Emma Moreau,39,F,2023-08-18,active
CLI0334,Emma Robert,83,F,2021-01-25,active
CLI0335,Jean Robert,34,F,2021-06-27,active
CLI0336,Julie Petit,68,M,2025-06-27,active
CLI0337,Thomas Durand,75,F,2020-11-05,active
CLI0338,Thomas Moreau,53,M,2024-02-20,active
CLI0339,Julie Laurent,18,F,2021-01-16,active
CLI0340,Marie Moreau,68,F,2022-06-11,active
CLI0341,Laura Robert,59,M,2023-03-07,active
CLI0342,Emma Dubois,61,M,2020-07-17,active
CLI0343,Laura Martin,33,M,2021-10-09,inactive
CLI0344,Jean Durand,43,F,2021-06-24,active
CLI0345,Luc Robert,29,F,2024-01-16,active
CLI0346,Julie Thomas,24,M,2024-06-11,active
CLI0347,Sophie Durand,29,F,2021-01-24,active
CLI0348,Laura Bernard,34,M,2022-07-15,active
CLI0349,Jean Martin,61,F,2021-05-08,active
CLI0350,Laura Bernard,47,M,2024-04-18,active
CLI0351,Marie Richard,65,M,2023-05-10,active
CLI0352,Luc Thomas,26,F,2025-12-12,active
CLI0353,Emma Thomas,74,M,2023-12-09,active
CLI0354,Thomas Laurent,74,M,2022-06-08,active
CLI0355,Luc Bernard,67,M,2023-12-10,active
CLI0356,Luc Petit,53,F,2020-12-11,active
CLI0357,Jean Robert,44,F,2025-10-21,active
CLI0358,Thomas Robert,24,M,2022-09-07,active
CLI0359,Marie Petit,81,F,2020-10-17,active
CLI0360,Julie Richard,34,M,2024-05-03,active
CLI0361,Julie Moreau,40,F,2025-04-13,active
CLI0362,Emma Bernard,19,M,2022-12-09,active
CLI0363,Jean Durand,82,M,2023-03-19,inactive
CLI0364,Thomas Durand,28,F,2021-09-17,active
CLI0365,Pierre Bernard,83,M,2022-04-12,active
CLI0366,Thomas Laurent,26,F,2023-06-24,inactive
CLI0367,Jean Petit,29,M,2024-11-14,active
CLI0368,Emma Laurent,25,F,2023-06-20,active
CLI0369,Marie Martin,35,M,2020-02-16,active
CLI0370,Julie Moreau,84,F,2022-11-27,active
CLI0371,Luc Robert,33,F,2020-04-30,active
CLI0372,Pierre Moreau,26,F,2022-12-13,active
CLI0373,Laura Dubois,83,M,2024-01-15,active
CLI0374,Emma Thomas,65,F,2021-10-06,active
CLI0375,Emma Bernard,47,M,2025-09-15,active
CLI0376,Jean Petit,23,M,2025-04-16,active
CLI0377,Luc Thomas,22,F,2024-09-13,active
CLI0378,Sophie Durand,58,F,2023-01-16,active
CLI0379,Marie Moreau,24,F,2022-01-04,active
CLI0380,Thomas Bernard,77,M,2023-03-02,active
CLI0381,Marie Moreau,76,F,2020-02-02,active
CLI0382,Pierre Laurent,56,M,2022-09-20,active
CLI0383,Emma Dubois,43,F,2022-10-01,active
CLI0384,Thomas Martin,47,M,2023-11-19,inactive
CLI0385,Julie Martin,66,M,2023-06-13,active
CLI0386,Nicolas Petit,71,M,2025-07-08,active
CLI0387,Pierre Bernard,23,M,2022-08-06,inactive
CLI0388,Julie Dubois,28,F,2021-01-26,active
CLI0389,Thomas Bernard,25,M,2024-11-16,inactive
CLI0390,Pierre Robert,58,M,2024-05-28,active
CLI0391,Laura Robert,47,F,2020-11-01,active
CLI0392,Emma Bernard,37,M,2021-03-08,active
CLI0393,Laura Richard,70,F,2021-05-09,active
CLI0394,Sophie Dubois,57,F,2025-03-12,active
CLI0395,Marie Thomas,56,M,2020-06-14,active
CLI0396,Luc Bernard,49,F,2023-12-28,active
CLI0397,Pierre Robert,40,M,2020-05-07,active
CLI0398,Nicolas Moreau,49,F,2021-01-22,active
CLI0399,Luc Bernard,19,M,2020-09-09,active
CLI0400,Sophie Durand,65,M,2020-12-10,inactive
CLI0401,Marie Martin,26,F,2022-03-20,active
CLI0402,Luc Bernard,60,F,2021-05-16,active
CLI0403,Jean Thomas,73,F,2024-06-05,inactive
CLI0404,Thomas Durand,40,M,2023-12-20,active
CLI0405,Pierre Robert,75,M,2021-08-31,active
CLI0406,Pierre Dubois,70,M,2025-05-16,inactive
CLI0407,Pierre Durand,35,M,2024-09-13,active
CLI0408,Nicolas Martin,66,M,2024-01-10,active
CLI0409,Julie Laurent,82,F,2023-08-10,active
CLI0410,Luc Martin,58,F,2022-06-16,active
CLI0411,Jean Dubois,85,F,2024-01-04,active
CLI0412,Luc Bernard,49,M,2022-09-14,active
CLI0413,Sophie Laurent,67,M,2023-12-24,active
CLI0414,Sophie Laurent,58,M,2024-01-09,active
CLI0415,Julie Laurent,36,M,2022-02-10,active
CLI0416,Luc Dubois,22,F,2021-01-04,active
CLI0417,Emma Petit,20,M,2025-11-26,active
CLI0418,Julie Laurent,43,M,2021-06-18,active
CLI0419,Julie Martin,20,M,2021-08-28,active
CLI0420,Marie Moreau,64,M,2020-10-24,active
CLI0421,Emma Bernard,61,F,2023-05-21,active
CLI0422,Luc Durand,80,M,2023-07-23,active
CLI0423,Sophie Laurent,40,F,2024-03-29,active
CLI0424,Luc Thomas,18,F,2024-05-22,active
CLI0425,Luc Laurent,58,M,2022-06-23,active
CLI0426,Laura Thomas,60,M,2020-11-14,active
CLI0427,Julie Thomas,29,F,2023-10-07,active
CLI0428,Pierre Petit,49,M,2020-10-04,active
CLI0429,Marie Martin,24,F,2024-04-29,active
CLI0430,Luc Durand,81,F,2024-03-31,active
CLI0431,Marie Dubois,46,F,2021-10-28,active
CLI0432,Jean Robert,20,M,2023-07-29,active
CLI0433,Marie Richard,39,M,2024-03-17,active
CLI0434,Nicolas Bernard,61,M,2025-05-31,active
CLI0435,Luc Laurent,73,F,2021-10-05,active
